Tournament,Date,Series,Surface,Round,Winner,Loser
Rogers Masters,2018-08-12,Masters 1000,Hard,The Final,Rafael Nadal,Stefanos Tsitsipas
Western & Southern Financial Group Masters,2018-08-13,Masters 1000,Hard,1st Round,Denis Shapovalov,Frances Tiafoe
Western & Southern Financial Group Masters,2018-08-14,Masters 1000,Hard,1st Round,Borna Coric,Daniil Medvedev
Western & Southern Financial Group Masters,2018-08-15,Masters 1000,Hard,2nd Round,Grigor Dimitrov,Alexander Zverev
Western & Southern Financial Group Masters,2018-08-16,Masters 1000,Hard,2nd Round,Nick Kyrgios,Borna Coric
Western & Southern Financial Group Masters,2018-08-17,Masters 1000,Hard,3rd Round,Novak Djokovic,Grigor Dimitrov
Western & Southern Financial Group Masters,2018-08-17,Masters 1000,Hard,3rd Round,Marin Cilic,Karen Khachanov
Western & Southern Financial Group Masters,2018-08-17,Masters 1000,Hard,Quarterfinals,Marin Cilic,Pablo Carreno Busta
Western & Southern Financial Group Masters,2018-08-18,Masters 1000,Hard,Semifinals,Novak Djokovic,Marin Cilic
Winston-Salem Open at Wake Forest University,2018-08-21,ATP250,Hard,2nd Round,Daniil Medvedev,Alex de Minaur
US Open,2018-08-27,Grand Slam,Hard,1st Round,Taylor Fritz,Alexander Zverev
US Open,2018-08-27,Grand Slam,Hard,1st Round,Denis Shapovalov,Felix Auger-Aliassime
US Open,2018-08-29,Grand Slam,Hard,2nd Round,Daniil Medvedev,Stefanos Tsitsipas
US Open,2018-08-30,Grand Slam,Hard,2nd Round,Alex de Minaur,Frances Tiafoe
US Open,2018-08-31,Grand Slam,Hard,2nd Round,Marin Cilic,Hubert Hurkacz
US Open,2018-08-31,Grand Slam,Hard,3rd Round,Rafael Nadal,Karen Khachanov
US Open,2018-09-01,Grand Slam,Hard,3rd Round,Borna Coric,Daniil Medvedev
US Open,2018-09-02,Grand Slam,Hard,3rd Round,Marin Cilic,Alex de Minaur
St. Petersburg Open,2018-09-20,ATP250,Hard,2nd Round,Denis Shapovalov,Matteo Berrettini
Shenzhen Open,2018-09-26,ATP250,Hard,2nd Round,Cameron Norrie,Borna Coric
China Open,2018-10-02,ATP500,Hard,1st Round,Alexander Zverev,Roberto Bautista Agut
Rakuten Japan Open Tennis Championships,2018-10-01,ATP500,Hard,1st Round,Daniil Medvedev,Diego Schwartzman
Rakuten Japan Open Tennis Championships,2018-10-04,ATP500,Hard,2nd Round,Stefanos Tsitsipas,Alex de Minaur
Rakuten Japan Open Tennis Championships,2018-10-06,ATP500,Hard,Semifinals,Daniil Medvedev,Denis Shapovalov
Shanghai Masters,2018-10-08,Masters 1000,Hard,1st Round,Roberto Bautista Agut,Andrey Rublev
Shanghai Masters,2018-10-10,Masters 1000,Hard,2nd Round,Stefanos Tsitsipas,Karen Khachanov
Shanghai Masters,2018-10-11,Masters 1000,Hard,3rd Round,Alexander Zverev,Alex de Minaur
Shanghai Masters,2018-10-13,Masters 1000,Hard,Semifinals,Novak Djokovic,Alexander Zverev
Shanghai Masters,2018-10-14,Masters 1000,Hard,The Final,Novak Djokovic,Borna Coric
European Open,2018-10-18,ATP250,Hard,2nd Round,Diego Schwartzman,Cameron Norrie
Kremlin Cup,2018-10-16,ATP250,Hard,1st Round,Nick Kyrgios,Andrey Rublev
Kremlin Cup,2018-10-20,ATP250,Hard,Semifinals,Karen Khachanov,Daniil Medvedev
Swiss Indoors,2018-10-22,ATP500,Hard,1st Round,Marin Cilic,Denis Shapovalov
Swiss Indoors,2018-10-26,ATP500,Hard,Quarterfinals,Alexander Zverev,Roberto Bautista Agut
Swiss Indoors,2018-10-26,ATP500,Hard,Quarterfinals,Daniil Medvedev,Stefanos Tsitsipas
BNP Paribas Masters,2018-10-30,Masters 1000,Hard,1st Round,Daniil Medvedev,Pablo Carreno Busta
BNP Paribas Masters,2018-10-31,Masters 1000,Hard,2nd Round,Alexander Zverev,Frances Tiafoe
